_input,_num,_widgetName,_source,_resultNumber,_pageUrl,title,pic,pic/_source,pic/_title,pic/_alt,text,link,link/_source,link/_title,link/_text
,1,publications crawler,publications crawler,1,http://www.conflictsensitivity.org/publications/conflict-and-project-finance-exploring-options-better-management-conflict-risk,Conflict and Project Finance: Exploring Options for the Better Management of Conflict Risk,http://www.conflictsensitivity.org/sites/default/files/imagecache/Thumbnail/Conflict_Project_Finance-Cover_0.jpg,,,,This paper looks at the connections between conflict and project finance and explores how financial institutions may adopt a 'conflict-sensitive' approach to finance by improving their understanding of the two-way relationship between projects and violent conflict.; Until now the financial sector has had limited involvement in international debates on business and conflict. This background paper seeks to stimulate greater consideration of conflict risk and a more constructive path for project finance backed investments in conflict-prone regions.; While there is a cluster of factors that point to project financiers' particular exposure to conflict risk the project finance community is at the same time well-placed to take remedial steps to both protect their own investments and ensure that their business is not impacting negatively on those affected by violent conflict or the wider objectives of their own institutions.; The paper concludes that a conflict-sensitive approach to project finance requires financial institutions and other actors to understand the conflict context in which a project is developed. In addition they must recognise the interactions between the project activities and that context; and from there act to prevent any negative impacts that may be the result of that interaction.; [Summary Source: International Alert Eldis],http://www.conflictsensitivity.org/sites/default/files/Conflict_Project_Finance_0.pdf,,,Conflict_Project_Finance.pdf
,2,publications crawler,publications crawler,2,http://www.conflictsensitivity.org/publications/confronting-war-critical-lessons-peace-practitioners,Confronting War: Critical Lessons for Peace Practitioners,http://www.conflictsensitivity.org/sites/default/files/imagecache/Thumbnail/thumb_confront_BookImage.jpg,,,,These are realities: most peace programs are small peace is complicated many people do need to do many things peace does take time etc. Yet from the vantage point of a broad overview of many activities over many locations over a long period of time one overwhelming conclusion emerges:; These are realities: most peace programs are small peace is complicated many people do need to do many things peace does take time etc. Yet from the vantage point of a broad overview of many activities over many locations over a long period of time one overwhelming conclusion emerges:; All of the good peace work being done should be adding up to more than it is. The potential of these multiple efforts is not fully realized. Practitioners know that so long as people continue to suffer the consequences of unresolved conflicts there is urgency for everyone to do better.; So in spite of the real limitations and constraints the question of effectiveness is high on the agenda of peace practitioners. It is posed in several ways: How do we do what we do better with more effect with better effect? How do we know that the work we do for peace is worthwhile? What in fact are the results of our work for the people on whose behalf or with whom we work? [Summary Source: CDA Introduction]; Related Reading: See also Reflecting on Peace Practice,http://www.conflictsensitivity.org/sites/default/files/Confronting_War.pdf,,,Confronting_War.pdf
,3,publications crawler,publications crawler,3,http://www.conflictsensitivity.org/node/103,Do No Harm / Local Capacities for Peace Project,http://www.conflictsensitivity.org/sites/default/files/imagecache/Thumbnail/47c6df110ff66.jpg,,,,"Micro-level conflict analysis project planning and programme quality and impact assessment of programme on conflict.; Field staff of international or local NGOs also widespread among donor agencies (headquarters and field offices). It is primarily targeted at humanitarian organisations but is also applicable to development cooperation and peacebuilding.; Project level; Aid is not neutral in the midst of conflict. Aid and how it is administered can cause harm or can strengthen peace capacities in the midst of conflicted communities. All aid programmes involve the transfer of resources (food shelter water health care training etc.) into a resource-scarce environment. Where people are in conflict these resources represent power and wealth and they become an element of the conflict. Some people attempt to control and use aid resources to support their side of the conflict and to weaken the other side. If they are successful or if aid staff fail to recognise the impact of their programming decisions aid can cause harm. However the transfer of resources and the manner in which staff conduct the programmes can strengthen local capacities for peace build on connectors that bring communities together and reduce the divisions and sources of tensions that can lead to destructive conflict.; To do no harm and to support local capacities for peace requires:; - careful analysis of the context of conflict and the aid programme examining how aid interacts with the conflict and a willingness to create options and redesign programmes to improve its quality; - careful reflection on staff conduct and organisational policies so that the ""implicit ethical messages"" that are sent communicate congruent messages that strengthen local capacities for peace.; - Analyse dividers and sources of tensions between groups: Systems & Institutions; Attitudes & Actions; [Different] Values & Interests; [Different] Experiences; Symbols & Occasions.; - Analyse connectors across subgroups and Local Capacities for Peace: Systems & Institutions; Attitudes & Actions; [Shared] Values & Interests; [Shared] Experiences; Symbols & Occasions.; - Analyse the aid programme: mission mandate headquarters; describe the local programme in terms of why; where; what; when; with whom; by whom and how.; - Analyse the aid programme?s impact on dividers/tensions and connectors / local capacities for peace: is the programme design its activities or its personnel increasing or decreasing dividers / tensions? Is it supporting or undercutting connectors / local capacities for peace?; - Consider options for programming redesign and re-check the impact on dividers / tensions and connectors / local capacities for peace: how can the programme details be redesigned so it will ""Do No Harm"" and strengthen local capacities for peace? Ensure the redesign options avoid negative impacts on the dividers or connectors.; The Do No Harm framework is generally used by a group of practitioners familiar with the context and project. In this sense most data is drawn from the participants. However there are times when information gaps are identified and data is collected from other sources to improve the quality of the analysis.; It does not include explicit conflict and peace indicators. However there are many implicit indicators that can be made explicit through a community-based process of indicator development. Such indicators could include a just distribution of resources creating or strengthening networks of relationships across divisions strengthening good governance the use of participatory processes for decision making supporting traditional or indigenous mechanisms for conflict resolution and reconciliation inclusion of diversity of ethnic or religious groups gender or youth in programme activities and leadership structures.; Limited if conducted in workshop format.; The Do No Harm methodology is widely used among international and increasingly local humanitarian and development organisations. In Germany for example a large group of NGOs has committed themselves to mainstreaming Do No Harm within their operations. While engaged in the early development of the tool in collaboration with CDA World Vision has also moved toward a process of mainstreaming the use of the Do No Harm framework since 2001. To this end workshops training of trainers programme assessments and case studies of the use of the above framework have been undertaken worldwide.; - The Do No Harm framework is an approach that is highly compatible with community-based participatory processes and may in fact help strengthen local capacities for peace in the process of using it.; - The underlying concepts of the Do No Harm framework are relatively easy to grasp (this can be done in a one- to two-day workshop). It is nonetheless a longer process to integrate it into staff perspective in such a way that it becomes a conflict analysis lens for better assessing humanitarian and development work.; - It is descriptive in nature and therefore challenges the users to do their own analysis and apply problem-solving skills to the situation. When used well it can improve the quality of programming lowers the risks to staff and community and lays a solid foundation on which peacebuilding can take place.; - After extensive application of the Do No Harm approach in a variety of contexts a number of international NGOs including World Vision have found that it is very useful in both emergency and development settings.; 1. It is primarily focused on the micro situation so that if used without consideration of the macro context it may create a false sense of security for staff.; 2. It is less suitable for an in-depth analysis of macro-level conflict. Some organisations such as World Vision have thus tried to address the above by combining Do No Harm with other macro conflict analysis tools.; - The Do No Harm framework has proved a very valuable tool for micro conflict analysis in both relief and development contexts.; - It is also regarded as a flexible tool that can be further adapted to the various needs of the organisations applying the Do No Harm framework. For instance World Vision found that the use of case study writing and the use of case studies in training help complement the LCPP framework.; More information on the Do No Harm approach can be found on CDA?s website (http://www.cdainc.com/lcp/index.php). Training materials are available in English French and Spanish. The following publications are particularly useful:; - Do No Harm: How Aid can Support Peace - or War Mary B. Anderson Boulder: Lynne Rienner Publishers February 1999.; - Options for Aid in Conflict: Lessons from Field Experience Ed. by Mary B. Anderson December 2000.; Collaborative for Development Action Tel: +1 617 661 6310 E?mail:lcp@cdainc.com",,,,
,4,publications crawler,publications crawler,4,http://www.conflictsensitivity.org/node/101,Working with Conflict: Skills and Strategies for Action,http://www.conflictsensitivity.org/sites/default/files/imagecache/Thumbnail/9781856498371.jpg,,,,Conflict analysis and intervention within the framework of conflict transformation (the handbook contains tools for analysis planning implementation and impact monitoring).; Local and international NGOs field and headquarters staff mainly working on peacebuilding. Individual tools can be applied in a wide range of contexts including development cooperation and humanitarian assistance. It is also used by national governments and donors.; Mainly project level and local conflicts although it is also applicable to country-level analysis.; Conflict is complex dynamic and a part of life. When it is violent it becomes destructive.; Conflict transformation is a holistic and multifaceted process of engaging with conflict. It aims to reduce violence and bring about sustainable justice and peace. It requires work in all spheres at all levels and with all stakeholders.; The handbook contains an easily accessible introductory section on understanding conflict which deals with different ways of making sense of conflict and violence concepts of conflict transformation and the nature of peace processes. A further section is devoted to critical issues in conflict analysis including power culture identity gender and rights. Generally the handbook takes a value-based approach to conflict which is firmly grounded on the principles of active non-violence.; The handbook contains a series of tools for analysing conflict. The aim is to reach a multi-dimensional analysis of the conflict and find entry points for action. An important aspect is the inclusion of stakeholders in the analytical and decision-making process.; - Identify stages of conflict; - Predict future patterns; - Select particular episode for further analysis; This tool identifies the different stages levels and patterns of intensity of a conflict over a specific period of time. It assists in identifying indicators for different stages of conflict and violence. Stages of conflict can be used to represent different perceptions of a conflict.; - Clarify local conflict history; - Help people know and accept each other?s understandings of history; This step provides graphic plotting of key conflict-related and other events against a particular timescale. It also highlights the different perceptions of the parties in the conflict.; - Identify actors issues and relationships; - Identify potential allies and entry points for action; This tool helps visualising relationships between conflict actors (it can also include geographical mapping mapping of issues or power alignments mapping of needs and fears). The power relationships become evident through the relative size of actors in the diagram lines between actors symbolise type of relationship (e.g. alliance conflict over particular issue); - Gain insight into motivations of conflict parties and the structures or systems in place that contribute to the conflict; - Identify the key needs of each party; - Find entry points; For each conflict party drawing an ABC triangle helps to understand the position from which each party is approaching conflict the context within which conflict is taking place and identifies key needs.; - Move beyond public positions of each party; - Prepare for facilitation mediation or problem solving interventions; For each conflict party an ?onion? of three concentric circles is drawn. These represent from inside to outside needs (?what we must have?) interests (?what we really want?) and positions (?what we say we want?). It helps identify common ground between groups as basis for further discussions.; - Relates causes and effects to each other and helps to focus interventions; - Facilitates decision making on work priorities; A tree symbolises the core problem of the conflict (trunk) its underlying causes (roots) and effects (branches). It helps reaching agreement in groups on the core problem to be addressed and shows the links between the underlying causes and the effects.; - Clarify negative and positive forces that are working for or against the continuation of violent conflict; - Develop strategies for reducing/eliminating the negative and building on positive forces; It helps provide a visual analysis of positive and negative factors influencing a desired change or plan of action. Positive and negative forces are listed in parallel columns with arrows symbolising their relative strength.; - Find ways to weaken or remove factors supporting a negative situation; Upside-down triangle symbolises a (negative) situation which is upheld by ?pillars? representing the forces maintaining this situation. This step increases understanding of structures sustaining an undesirable situation.; Find right approaches for working at different levels; - Position own work; - Identify potential allies; Two to three levelled pyramids show stakeholders at different levels of the conflict (e.g. top middle grass roots). It helps identify key actors/leadership and links between levels.; Most tools are best used during a workshop or community meeting or within a team. Users can select and combine tools according to their specific needs. Most tools are more effective when used with the active involvement of communities and are designed to deepen their understanding of conflict issues. They need to be used with sensitivity to local circumstances.; Refer to individual tools.; None except a familiarity with the tools.; The RTC approach is used extensively in countries in situations of crisis or in post-settlement peacebuilding both by external interveners and by those taking action for change in their own situations. They have been and are being applied in a wide variety of contexts from local government offices in the UK through international NGOs such as World Vision and Oxfam (West India) to pastoralist communities in Northeastern Kenya.; - Using and developing the tools assist people to express their perspectives and understanding of the situation as all perspectives are seen as valuable. The debate is focused on the issue rather than the individuals. This gives a more complete picture to all involved and clarifies the understanding of all.; - It is important to use some or indeed all of the tools together as a package in order to gain full and nuanced understanding of complex conflict situations.; - Adaptation of the tools to make them more familiar to participants is helpful. For example in parts of Kenya the Conflict Stages diagram is referred to as the ?camel?s hump?.; Analysis is not a one-off activity. Because conflict violence and peace are dynamic analysis needs to be regularly updated.; Some reports can be obtained on application from Responding to Conflict and from various peace networks globally such as ACTION for Conflict Transformation Coalition for Peace in Africa (COPA - South and East Africa) Cooperation for Peace and Unity (CPAU - Afghanistan) and West African Network for Peacebuilding (WANEP).; Responding to Conflict Tel. 44 121 415 5641 Fax 44 121 415 4119 E?mail: enquiries@respond.org Website:www.respond.org,,,,
,5,publications crawler,publications crawler,5,http://www.conflictsensitivity.org/node/102,Building Institutional Capacity for Conflict-Sensitive Practice: The Case of International NGOs,http://www.conflictsensitivity.org/sites/default/files/imagecache/Thumbnail/untitled_4.JPG,,,,This paper based on internal documents and interviews with staff from 12 large development INGOs exams the processes and practicalities of mainstreaming conflict sensitivity. Applying organisational-development theory and theories of developmental learning it exams the problems INGOs have faced in mainstreaming conflict sensitivity within their own staff as well as with external partners and in building the capacity to maintain conflict-sensitive practices. It concludes that conflict-sensitive development requires not only increased organisational capacity but also effective partnerships among and within a wide range of actors and sectors.; This paper based on internal documents and interviews with staff from 12 large development INGOs exams the processes and practicalities of mainstreaming conflict sensitivity. Applying organisational-development theory and theories of developmental learning it exams the problems INGOs have faced in mainstreaming conflict sensitivity within their own staff as well as with external partners and in building the capacity to maintain conflict-sensitive practices. It concludes that conflict-sensitive development requires not only increased organisational capacity but also effective partnerships among and within a wide range of actors and sectors.; Mainstreaming conflict sensitivity requires:; - increased organisational capacity and improved training; - effective partnerships; - linkages between organisational mandate and values; - a balance between technical abilities of staff and their social and analytical skills; - that peacebuilding be treated as a cross-cutting issue.,http://www.conflictsensitivity.org/sites/default/files/Building_Institutional_Capacity.pdf,,,Building_Institutional_Capacity.pdf
,6,publications crawler,publications crawler,6,http://www.conflictsensitivity.org/node/100,Conflict Sensitivity in Emergencies: Learning from the Asia Tsunami Response,http://www.conflictsensitivity.org/sites/default/files/imagecache/Thumbnail/CSE-cover.jpg,,,,This report draws on the first year of the Asia Tsunami Response to reflect on World Vision's operational experience with conflict sensitivity in emergency response using six Asia-Pacific case studies. It also sets out to identify potential directions for future work.,http://www.conflictsensitivity.org/sites/default/files/Conflict%20sensitivity%20in%20Emergencies.pdf,http://www.conflictsensitivity.org/sites/default/files/Conflict sensitivity in Emergencies.pdf,,Conflict sensitivity in Emergencies.pdf
,7,publications crawler,publications crawler,7,http://www.conflictsensitivity.org/node/85,Making Sense of Turbulent Contexts (MSTC): Analysis Tools for Humanitarian Actors,,,,,"Primary purpose Conflict analysis and planning.; Intended users Initially designed for emergency response staff of international NGOs. It is also useful for staff involved in planning and design of development or advocacy programmes in countries experiencing instability.; Levels of application Country and regional levels.; Conceptual assumptions 1. ""Turbulent Contexts"" Refers to what the humanitarian sector is calling Situations of Chronic Political Instability (SCPI).This term expands the notion of ""complex humanitarian emergency"" to reflect the long-term cyclical and political nature of many of these contexts. It covers phenomena such as cyclical conflict violence against civilians political unrest extreme polarisation of wealth natural disasters over a number of years population displacement and the need for humanitarian assistance. The emphasis is on the chronic and political nature of these contexts.; 2. MSTC Tools These tools are based on recent research on the economy of war but do not oppose ""greed"" and ""grievance"". Rather the methodology aims at capturing both the economic agendas in war and the social dynamics (e.g. around class gender identity history belief systems) leading to violence. The MSTC analysis uses specially designed practical tools to peel away the political economic and socio-historic layers of complex conflicts.; MSTC was designed to dovetail with the Do No Harm approach. It provides for detailed contextual information at the meso- and macro-level on which Do No Harm can then build.; Main steps and suggested process MSTC analysis provides five tools to answer the following key questions:; What phases has the context moved through? (Rapid Historical Phase Analysis) What are the symptoms of instability? (Symptoms of Instability Analysis) What kinds of actors are at play in the growing instability? (Actor Characteristics Analysis) What struggles over resources and power have played a role in the growing instability? (Political Economy of Instability Analysis) What resentment and stereotypes have played a role in the growing instability? (Inter-group Relationship Analysis) There are two further tools one to synthesise the analysis (SCPI Mapping) and the other to outline possible future scenarios (Scenario and Sensitivity Analysis).; Other tools are also available in the annex including the iceberg method inspired by the UN Early Warning and Preventive Measures methodology (see Survey of conflict causes as explained in tool 10) that can be used to complement the ?Symptoms of Instability Analysis? in order to identify the structural causes that lie behind the immediate causes identified within the MSTC process.; Guiding questions / indicators Refer to individual tools.; Required resources Variable as modules can be combined in different ways.; Current applications It has recently been applied by World Vision Sudan and will be undertaken in Kosovo and Uganda (planned for July / August 2003). There are also plans to use these tools combined with other tried and tested tools for an inter-agency analysis of Iraq. Key World Vision humanitarian policy and programme staff have been exposed to it. Lessons learnt Lessons learnt are yet to be gathered as it is still early in the test stage. It is nonetheless planned that key practitioners involved in the test runs will be brought together by the end of 2004 for the review and revision of the tools.; However key lessons learnt so far include:; - the need for flexibility in the choice of tools used - the need for sensitivity and confidentiality in the dissemination of findings - the usefulness of the tools for strategic planning in general - the need to consider simplifying the tools.; Commentary on the tool The tool is still in its infancy and yet to be fully tested but early indications are that it is very useful for conflict-sensitive programming (emergency or longer-term development) in areas where macro-level analysis has been neglected. It is also useful for the analysis of ""clusters of countries"" i.e. regions where causal factors are cross-border.; Available reports Reports of MSTC analysis findings for the above countries are not available owing to sensitivities.; Contact details World Vision International Siobhan Calthrop Policy & Advocacy Capacity Building Co-ordinator E?mail:siobhan_calthrop@wvi.org",,,,
,8,publications crawler,publications crawler,8,http://www.conflictsensitivity.org/node/84,Benefits / Harms Handbook,http://www.conflictsensitivity.org/sites/default/files/imagecache/Thumbnail/BHH.JPG,,,,To help humanitarian and development workers take responsibility for the impact of their work on people?s human rights. It offers a set of simple interrogative tools that help staff think more deeply and effectively about the impacts of their work and taking responsibility for both positive and negative impacts. It also provides a framework for monitoring potential negative or unintended impacts as well as ways to mitigate these.; NGO project managers and other field staff and consultants working in the areas of development and humanitarian assistance. The methodology may also be of interest to national government officials and possibly donors.; Project level although the concepts could be applied at other levels as well.; CARE?s human rights-based approach to relief and development presupposes that all people are entitled to certain minimum conditions of living with dignity (human rights). Relief and development organisations aim to help people achieve these conditions thereby acknowledging their human responsibility to do so. This implies they take responsibility for the human rights impact of their work - whether positive or negative. Human rights are therefore the central criteria for analysing the overall impact of a project.; The methodology is based on three categories of human rights and impacts:; - political rights and impacts (e.g. right to equality and recognition before the law right to a fair trial freedom of thought and expression right to association and political participation); - security rights and impacts (e.g. right to life liberty security of person movement freedom from torture forced displacement degrading treatment sexual assault arbitrary arrest); - economic social and cultural rights and impacts (e.g. livelihood security nurtition food security water health education clean environment shelter participation in one's culture).; The Benefits / Harms Handbook contains tools for situation analysis (profile tools) impact assessment (impact tools) and project (re)design (decision tools). In particular:; -profile tools help users gain a more comprehensive understanding of the contexts in which they work; - impact tools help users think about the unintended impacts of their work; - decision tools help users work through difficult decisions when there is a real danger of harming people with an intervention.; The handbook assumes that most of the information required to answer the tools' questions is already available from the organisation?s field staff. Further information can be gathered from individuals familiar with the local situation who are invited for consultation. If the organisation has been working in the area for some time already it is recommended to hold a workshop inviting middle-level and field staff as well as local experts. For assessing a new project the questions in the tools may be put to the local community in a sensitive way.; The profile impact and decision tools are organised according to the three categories of human rights namely: political security and economic social and cultural rights.; In addition the profile tool also focuses on rights responsibilities and underlying causes in order to help users think about the underlying causes of any human rights problem. To this end consideration is given to the actions attitudes and artifices (e.g. systems and structures) that cause the rights problem.; Depends on the required research. A few hours talking through the profile tools with local staff are considered enough in emergency situations. Otherwise workshops with field staff decision makers and possibly additional experts are recommended.; Projects in East Africa must conduct a benefits / harms analysis before starting implementation. The intention is twofold:; - to conduct such an analysis prior to implementation; - to ensure that the benefits/harms thinking also pervades the project implementation monitoring and evaluation.; It is not possible to design a totally ?harm-free? project upfront so that equal emphasis needs to be placed on the follow up in the form of an ongoing benefits / harms analysis during the project implementation and the identification of ways to mitigate potential negative impacts.; The benefits / harms tools themselves are fairly straightforward to use and capacity can be built quickly. But it takes organisational commitment to make them work.; An electronic copy of the handbook is available on request.; Paul O'Brien Afghanistan Policy Advisor CARE International E-mail: pobrien@care.org; Dan Maxwell East Africa Regional Programme Coordinator CARE International E-mail: maxwell@care.org,,,,
,9,publications crawler,publications crawler,9,http://www.conflictsensitivity.org/publications/promoting-development-areas-actual-or-potential-violent-conflict-approaches-conflict-im,Promoting Development in Areas of Actual or Potential Violent Conflict: Approaches in Conflict Impact Assessment and Early Warning 2000,http://www.conflictsensitivity.org/sites/default/files/imagecache/Thumbnail/Promoting_Development_in_Areas-Cover.gif,,,,A paper originally presented at the Global Development Network Conference in Bonn 5-8 December 1999 discussing approaches in conflict impact assessment and early warning.; [Summary Source: International Alert],http://www.conflictsensitivity.org/sites/default/files/Promoting_Development_in_Areas.pdf,,,Promoting_Development_in_Areas.pdf
,10,publications crawler,publications crawler,10,http://www.conflictsensitivity.org/node/81,Conflict Analysis Tools,,,,,The following tools have been selected from Chapter 2 of the Resource Pack. They have been chosen according to the following criteria:; - sufficient documentation to describe the tool adequately; - each tool was used by at least one organisation; - the tools cover both micro- and macro-level conflict analysis; - the tools represent a wide range of approaches to conflict analyses.; Although the team behind the Resource Pack strived to document the practice and experience of smaller Southern-based organisations a brief glance at the list of tools reveals that most have been developed by Northern NGOs and donor agencies.; This list is not comprehensive and will need to be further adapted to each organisation and each context. Rather than either choosing one tool 'off the rack' or creating an entirely new tool we strongly encourage organisations to tailor relevant elements of existing tools to develop appropriate hybrids.,,,,
